"","V1","V2","V3","V4","V5","V6","lat","lon"
"1",43,41,22.8,114,41,14.1,43.6896666666667,-114.68725
"2",43,41,22.9,114,41,14.2,43.6896944444444,-114.687277777778
"3",43,41,22.8,114,41,14,43.6896666666667,-114.687222222222
"4",43,41,21.4,114,41,12.9,43.6892777777778,-114.686916666667
"5",43,41,20.2,114,41,12.3,43.6889444444444,-114.68675
"6",43,41,20.4,114,41,12.3,43.689,-114.68675
"7",43,41,20.4,114,41,12.3,43.689,-114.68675
"8",43,41,20.4,114,41,12.1,43.689,-114.686694444444
"9",43,41,20.7,114,41,11.7,43.6890833333333,-114.686583333333
"10",43,41,20.6,114,41,11.9,43.6890555555556,-114.686638888889
"11",43,41,20.7,114,41,10.9,43.6890833333333,-114.686361111111
"12",43,41,21,114,41,10.7,43.6891666666667,-114.686305555556
"13",43,41,20.8,114,41,10,43.6891111111111,-114.686111111111
"14",43,41,21.2,114,41,9.4,43.6892222222222,-114.685944444444
"15",43,41,21.3,114,41,10.1,43.68925,-114.686138888889
"16",43,41,21.6,114,41,10.9,43.6893333333333,-114.686361111111
"17",43,41,21.1,114,41,11.6,43.6891944444444,-114.686555555556
"18",43,41,22,114,41,11.9,43.6894444444444,-114.686638888889
"19",43,41,22,114,41,13.6,43.6894444444444,-114.687111111111
"20",43,41,21.4,114,41,14.7,43.6892777777778,-114.687416666667
"21",43,41,21.1,114,41,15.5,43.6891944444444,-114.687638888889
"22",43,41,19.6,114,41,15.8,43.6887777777778,-114.687722222222
"23",43,41,18.3,114,41,15.2,43.6884166666667,-114.687555555556
"24",43,41,18.1,114,41,14.3,43.6883611111111,-114.687305555556
"25",43,41,19.4,114,41,13.6,43.6887222222222,-114.687111111111
"26",43,41,20.1,114,41,12.6,43.6889166666667,-114.686833333333
"27",43,41,21,114,41,12,43.6891666666667,-114.686666666667
"28",43,41,21.8,114,41,13.2,43.6893888888889,-114.687
"29",43,41,23,114,41,14.2,43.6897222222222,-114.687277777778
